run_id,case,idx,rm,dt,T,dT,Gexp,Gimpl
,Grid_T=-128_dT=-60,0,0,0,-128,-60,0,0
,Grid_T=-128_dT=-30,1,0,0,-128,-30,0,0
,Grid_T=-128_dT=-10,2,0,0,-128,-10,0,0
,Grid_T=-128_dT=0,3,0,0,-128,0,0,0
,Grid_T=-128_dT=10,4,0,0,-128,10,0,0
,Grid_T=-128_dT=30,5,0,0,-128,30,0,0
,Grid_T=-128_dT=60,6,0,0,-128,60,0,0
,Grid_T=-64_dT=-60,7,0,0,-64,-60,100,100
,Grid_T=-64_dT=-30,8,0,0,-64,-30,100,100
,Grid_T=-64_dT=-10,9,0,0,-64,-10,100,100
,Grid_T=-64_dT=0,10,0,0,-64,0,0,0
,Grid_T=-64_dT=10,11,0,0,-64,10,30,30
,Grid_T=-64_dT=30,12,0,0,-64,30,30,30
,Grid_T=-64_dT=60,13,0,0,-64,60,0,0
,Grid_T=-32_dT=-60,14,0,0,-32,-60,100,100
,Grid_T=-32_dT=-30,15,0,0,-32,-30,100,100
,Grid_T=-32_dT=-10,16,0,0,-32,-10,100,100
,Grid_T=-32_dT=0,17,0,0,-32,0,0,0
,Grid_T=-32_dT=10,18,0,0,-32,10,30,30
,Grid_T=-32_dT=30,19,0,0,-32,30,30,30
,Grid_T=-32_dT=60,20,0,0,-32,60,0,0
,Grid_T=-16_dT=-60,21,0,0,-16,-60,100,100
,Grid_T=-16_dT=-30,22,0,0,-16,-30,100,100
,Grid_T=-16_dT=-10,23,0,0,-16,-10,100,100
,Grid_T=-16_dT=0,24,0,0,-16,0,0,0
,Grid_T=-16_dT=10,25,0,0,-16,10,30,30
,Grid_T=-16_dT=30,26,0,0,-16,30,30,30
,Grid_T=-16_dT=60,27,0,0,-16,60,0,0
,Grid_T=0_dT=-60,28,0,0,0,-60,0,0
,Grid_T=0_dT=-30,29,0,0,0,-30,0,0
,Grid_T=0_dT=-10,30,0,0,0,-10,0,0
,Grid_T=0_dT=0,31,0,0,0,0,0,0
,Grid_T=0_dT=10,32,0,0,0,10,0,0
,Grid_T=0_dT=30,33,0,0,0,30,0,0
,Grid_T=0_dT=60,34,0,0,0,60,0,0
,Grid_T=16_dT=-60,35,0,0,16,-60,80,80
,Grid_T=16_dT=-30,36,0,0,16,-30,80,80
,Grid_T=16_dT=-10,37,0,0,16,-10,80,80
,Grid_T=16_dT=0,38,0,0,16,0,0,0
,Grid_T=16_dT=10,39,0,0,16,10,0,0
,Grid_T=16_dT=30,40,0,0,16,30,0,0
,Grid_T=16_dT=60,41,0,0,16,60,0,0
,Grid_T=32_dT=-60,42,0,0,32,-60,80,80
,Grid_T=32_dT=-30,43,0,0,32,-30,80,80
,Grid_T=32_dT=-10,44,0,0,32,-10,80,80
,Grid_T=32_dT=0,45,0,0,32,0,0,0
,Grid_T=32_dT=10,46,0,0,32,10,0,0
,Grid_T=32_dT=30,47,0,0,32,30,0,0
,Grid_T=32_dT=60,48,0,0,32,60,0,0
,Grid_T=64_dT=-60,49,0,0,64,-60,80,80
,Grid_T=64_dT=-30,50,0,0,64,-30,80,80
,Grid_T=64_dT=-10,51,0,0,64,-10,80,80
,Grid_T=64_dT=0,52,0,0,64,0,0,0
,Grid_T=64_dT=10,53,0,0,64,10,0,0
,Grid_T=64_dT=30,54,0,0,64,30,0,0
,Grid_T=64_dT=60,55,0,0,64,60,0,0
,Grid_T=96_dT=-60,56,0,0,96,-60,80,80
,Grid_T=96_dT=-30,57,0,0,96,-30,80,80
,Grid_T=96_dT=-10,58,0,0,96,-10,80,80
,Grid_T=96_dT=0,59,0,0,96,0,0,0
,Grid_T=96_dT=10,60,0,0,96,10,0,0
,Grid_T=96_dT=30,61,0,0,96,30,0,0
,Grid_T=96_dT=60,62,0,0,96,60,0,0
,Grid_T=127_dT=-60,63,0,0,127,-60,0,0
,Grid_T=127_dT=-30,64,0,0,127,-30,0,0
,Grid_T=127_dT=-10,65,0,0,127,-10,0,0
,Grid_T=127_dT=0,66,0,0,127,0,0,0
,Grid_T=127_dT=10,67,0,0,127,10,0,0
,Grid_T=127_dT=30,68,0,0,127,30,0,0
,Grid_T=127_dT=60,69,0,0,127,60,0,0
,Grid_T=-128_dT=-60,0,1,0,-128,-60,0,0
,Grid_T=-128_dT=-30,1,1,0,-128,-30,0,0
,Grid_T=-128_dT=-10,2,1,0,-128,-10,0,0
,Grid_T=-128_dT=0,3,1,0,-128,0,0,0
,Grid_T=-128_dT=10,4,1,0,-128,10,0,0
,Grid_T=-128_dT=30,5,1,0,-128,30,0,0
,Grid_T=-128_dT=60,6,1,0,-128,60,0,0
,Grid_T=-64_dT=-60,7,1,0,-64,-60,100,100
,Grid_T=-64_dT=-30,8,1,0,-64,-30,100,100
,Grid_T=-64_dT=-10,9,1,0,-64,-10,100,100
,Grid_T=-64_dT=0,10,1,0,-64,0,50,50
,Grid_T=-64_dT=10,11,1,0,-64,10,30,30
,Grid_T=-64_dT=30,12,1,0,-64,30,30,30
,Grid_T=-64_dT=60,13,1,0,-64,60,0,0
,Grid_T=-32_dT=-60,14,1,0,-32,-60,100,100
,Grid_T=-32_dT=-30,15,1,0,-32,-30,100,100
,Grid_T=-32_dT=-10,16,1,0,-32,-10,100,100
,Grid_T=-32_dT=0,17,1,0,-32,0,50,50
,Grid_T=-32_dT=10,18,1,0,-32,10,30,30
,Grid_T=-32_dT=30,19,1,0,-32,30,30,30
,Grid_T=-32_dT=60,20,1,0,-32,60,0,0
,Grid_T=-16_dT=-60,21,1,0,-16,-60,100,100
,Grid_T=-16_dT=-30,22,1,0,-16,-30,100,100
,Grid_T=-16_dT=-10,23,1,0,-16,-10,100,100
,Grid_T=-16_dT=0,24,1,0,-16,0,50,50
,Grid_T=-16_dT=10,25,1,0,-16,10,30,30
,Grid_T=-16_dT=30,26,1,0,-16,30,30,30
,Grid_T=-16_dT=60,27,1,0,-16,60,0,0
,Grid_T=0_dT=-60,28,1,0,0,-60,50,50
,Grid_T=0_dT=-30,29,1,0,0,-30,50,50
,Grid_T=0_dT=-10,30,1,0,0,-10,50,50
,Grid_T=0_dT=0,31,1,0,0,0,50,50
,Grid_T=0_dT=10,32,1,0,0,10,50,50
,Grid_T=0_dT=30,33,1,0,0,30,50,50
,Grid_T=0_dT=60,34,1,0,0,60,0,0
,Grid_T=16_dT=-60,35,1,0,16,-60,80,80
,Grid_T=16_dT=-30,36,1,0,16,-30,80,80
,Grid_T=16_dT=-10,37,1,0,16,-10,80,80
,Grid_T=16_dT=0,38,1,0,16,0,50,50
,Grid_T=16_dT=10,39,1,0,16,10,0,0
,Grid_T=16_dT=30,40,1,0,16,30,0,0
,Grid_T=16_dT=60,41,1,0,16,60,0,0
,Grid_T=32_dT=-60,42,1,0,32,-60,80,80
,Grid_T=32_dT=-30,43,1,0,32,-30,80,80
,Grid_T=32_dT=-10,44,1,0,32,-10,80,80
,Grid_T=32_dT=0,45,1,0,32,0,50,50
,Grid_T=32_dT=10,46,1,0,32,10,0,0
,Grid_T=32_dT=30,47,1,0,32,30,0,0
,Grid_T=32_dT=60,48,1,0,32,60,0,0
,Grid_T=64_dT=-60,49,1,0,64,-60,80,80
,Grid_T=64_dT=-30,50,1,0,64,-30,80,80
,Grid_T=64_dT=-10,51,1,0,64,-10,80,80
,Grid_T=64_dT=0,52,1,0,64,0,50,50
,Grid_T=64_dT=10,53,1,0,64,10,0,0
,Grid_T=64_dT=30,54,1,0,64,30,0,0
,Grid_T=64_dT=60,55,1,0,64,60,0,0
,Grid_T=96_dT=-60,56,1,0,96,-60,80,80
,Grid_T=96_dT=-30,57,1,0,96,-30,80,80
,Grid_T=96_dT=-10,58,1,0,96,-10,80,80
,Grid_T=96_dT=0,59,1,0,96,0,50,50
,Grid_T=96_dT=10,60,1,0,96,10,0,0
,Grid_T=96_dT=30,61,1,0,96,30,0,0
,Grid_T=96_dT=60,62,1,0,96,60,0,0
,Grid_T=127_dT=-60,63,1,0,127,-60,0,0
,Grid_T=127_dT=-30,64,1,0,127,-30,0,0
,Grid_T=127_dT=-10,65,1,0,127,-10,0,0
,Grid_T=127_dT=0,66,1,0,127,0,0,0
,Grid_T=127_dT=10,67,1,0,127,10,0,0
,Grid_T=127_dT=30,68,1,0,127,30,0,0
,Grid_T=127_dT=60,69,1,0,127,60,0,0
,Random,0,1,0,-55,-6,55,55
,Random,1,1,0,-2,90,0,0
,Random,2,1,0,-50,-126,0,0
,Random,3,1,0,27,89,0,0
,Random,4,1,0,-52,-41,100,100
,Random,5,1,0,27,79,0,0
,Random,6,1,0,115,-58,80,80
,Random,7,1,0,-112,0,50,50
,Random,8,1,0,88,-84,80,80
,Random,9,1,0,8,-121,0,0
,Random,10,1,0,99,115,0,0
,Random,11,1,0,-48,98,0,0
,Random,12,1,0,-13,59,40,40
,Random,13,1,0,124,46,0,0
,Random,14,1,0,79,54,0,0
,Random,15,1,0,71,-73,80,80
,Random,16,1,0,-102,8,41,41
,Random,17,1,0,-5,4,50,50
,Random,18,1,0,-116,58,30,30
,Random,19,1,0,57,-56,80,80
,Random,20,1,0,121,16,0,0
,Random,21,1,0,16,125,0,0
,Random,22,1,0,91,-18,80,80
,Random,23,1,0,57,35,0,0
,Random,24,1,0,-50,-17,100,100
,Random,25,1,0,26,9,17,17
,Random,26,1,0,53,-5,50,50
,Random,27,1,0,-40,14,30,30
,Random,28,1,0,40,9,17,17
,Random,29,1,0,44,37,0,0
,Random,30,1,0,-95,29,30,30
,Random,31,1,0,118,41,0,0
,Random,32,1,0,39,-13,80,80
,Random,33,1,0,-10,-120,0,0
,Random,34,1,0,-30,89,0,0
,Random,35,1,0,-34,17,30,30
,Random,36,1,0,-16,19,30,30
,Random,37,1,0,-92,79,0,0
,Random,38,1,0,-124,63,0,0
,Random,39,1,0,29,-31,80,80
,Random,40,1,0,-63,17,30,30
,Random,41,1,0,-84,-96,100,100
,Random,42,1,0,25,-127,0,0
,Random,43,1,0,-50,14,30,30
,Random,44,1,0,6,12,33,33
,Random,45,1,0,-117,-60,100,100
,Random,46,1,0,20,-101,0,0
,Random,47,1,0,-89,14,30,30
,Random,48,1,0,-7,-52,64,64
,Random,49,1,0,33,-35,80,80
,Random,50,1,0,-93,61,0,0
,Random,51,1,0,127,-93,0,0
,Random,52,1,0,121,59,0,0
,Random,53,1,0,-80,77,0,0
,Random,54,1,0,52,-79,80,80
,Random,55,1,0,-72,91,0,0
,Random,56,1,0,100,98,0,0
,Random,57,1,0,103,-108,0,0
,Random,58,1,0,70,70,0,0
,Random,59,1,0,-86,-93,100,100
,Random,60,1,0,111,-61,80,80
,Random,61,1,0,6,-95,65,65
,Random,62,1,0,73,-84,80,80
,Random,63,1,0,29,68,0,0
,Random,64,1,0,-61,-94,100,100
,Random,65,1,0,8,-66,60,60
,Random,66,1,0,55,56,0,0
,Random,67,1,0,125,-127,0,0
,Random,68,1,0,-67,-120,0,0
,Random,69,1,0,-9,-79,70,70
,Random,70,1,0,-57,116,0,0
,Random,71,1,0,-125,35,30,30
,Random,72,1,0,81,40,0,0
,Random,73,1,0,-57,-42,100,100
,Random,74,1,0,14,-82,72,72
,Random,75,1,0,97,-95,80,80
,Random,76,1,0,107,-21,80,80
,Random,77,1,0,26,70,0,0
,Random,78,1,0,-13,29,36,36
,Random,79,1,0,-8,104,0,0
,Random,80,1,0,120,-13,80,80
,Random,81,1,0,85,20,0,0
,Random,82,1,0,45,-57,80,80
,Random,83,1,0,-113,94,0,0
,Random,84,1,0,-125,41,30,30
,Random,85,1,0,-44,-4,50,50
,Random,86,1,0,67,-61,80,80
,Random,87,1,0,-16,73,0,0
,Random,88,1,0,6,-78,59,59
,Random,89,1,0,-31,-93,100,100
,Random,90,1,0,126,69,0,0
,Random,91,1,0,87,78,0,0
,Random,92,1,0,-7,37,44,44
,Random,93,1,0,7,101,0,0
,Random,94,1,0,36,116,0,0
,Random,95,1,0,1,-27,51,51
,Random,96,1,0,-88,18,30,30
,Random,97,1,0,89,-56,80,80
,Random,98,1,0,4,1,50,50
,Random,99,1,0,11,22,24,24
,Random,100,1,0,-120,59,30,30
,Random,101,1,0,-84,-79,100,100
,Random,102,1,0,-40,43,30,30
,Random,103,1,0,-78,123,0,0
,Random,104,1,0,-76,113,0,0
,Random,105,1,0,75,66,0,0
,Random,106,1,0,9,-70,62,62
,Random,107,1,0,-80,45,30,30
,Random,108,1,0,30,93,0,0
,Random,109,1,0,-112,75,0,0
,Random,110,1,0,28,18,0,0
,Random,111,1,0,79,69,0,0
,Random,112,1,0,109,120,0,0
,Random,113,1,0,127,66,0,0
,Random,114,1,0,-84,48,30,30
,Random,115,1,0,100,-25,80,80
,Random,116,1,0,-96,-125,0,0
,Random,117,1,0,13,-91,65,65
,Random,118,1,0,-104,-5,50,50
,Random,119,1,0,-58,-76,100,100
,Random,120,1,0,23,97,0,0
,Random,121,1,0,80,-64,80,80
,Random,122,1,0,69,28,0,0
,Random,123,1,0,50,-105,0,0
,Random,124,1,0,38,57,0,0
,Random,125,1,0,-44,-32,100,100
,Random,126,1,0,-39,-65,100,100
,Random,127,1,0,-38,60,0,0
,Random,128,1,0,-69,49,30,30
,Random,129,1,0,-127,-100,0,0
,Random,130,1,0,103,12,0,0
,Random,131,1,0,-55,-21,100,100
,Random,132,1,0,125,111,0,0
,Random,133,1,0,-43,-51,100,100
,Random,134,1,0,-68,123,0,0
,Random,135,1,0,7,-83,62,62
,Random,136,1,0,-43,14,30,30
,Random,137,1,0,80,-101,0,0
,Random,138,1,0,-93,-30,100,100
,Random,139,1,0,112,-34,80,80
,Random,140,1,0,-29,64,0,0
,Random,141,1,0,-90,-46,100,100
,Random,142,1,0,47,-36,80,80
,Random,143,1,0,44,8,29,29
,Random,144,1,0,-35,46,30,30
,Random,145,1,0,-70,-38,100,100
,Random,146,1,0,120,118,0,0
,Random,147,1,0,26,101,0,0
,Random,148,1,0,-16,-115,0,0
,Random,149,1,0,48,-48,80,80
,Random,150,1,0,96,-82,80,80
,Random,151,1,0,8,102,0,0
,Random,152,1,0,69,60,0,0
,Random,153,1,0,1,15,47,47
,Random,154,1,0,-9,-94,75,75
,Random,155,1,0,-2,11,47,47
,Random,156,1,0,-67,29,30,30
,Random,157,1,0,-87,53,30,30
,Random,158,1,0,-122,-104,0,0
,Random,159,1,0,-82,61,0,0
,Random,160,1,0,115,75,0,0
,Random,161,1,0,-74,-54,100,100
,Random,162,1,0,56,-61,80,80
,Random,163,1,0,91,-100,0,0
,Random,164,1,0,2,34,47,47
,Random,165,1,0,126,-85,80,80
,Random,166,1,0,-102,-74,100,100
,Random,167,1,0,-74,-36,100,100
,Random,168,1,0,99,105,0,0
,Random,169,1,0,77,-21,80,80
,Random,170,1,0,-94,-85,100,100
,Random,171,1,0,89,24,0,0
,Random,172,1,0,47,-11,80,80
,Random,173,1,0,-21,13,30,30
,Random,174,1,0,35,-104,0,0
,Random,175,1,0,110,33,0,0
,Random,176,1,0,-68,38,30,30
,Random,177,1,0,73,65,0,0
,Random,178,1,0,22,-113,0,0
,Random,179,1,0,61,41,0,0
,Random,180,1,0,-58,-53,100,100
,Random,181,1,0,57,-10,80,80
,Random,182,1,0,-30,1,50,50
,Random,183,1,0,-48,57,30,30
,Random,184,1,0,25,43,0,0
,Random,185,1,0,-104,107,0,0
,Random,186,1,0,-90,85,0,0
,Random,187,1,0,-49,125,0,0
,Random,188,1,0,72,47,0,0
