T,dT,Gimpl,Gexp
-32,-60,100,50
-32,-56,100,50
-32,-52,100,50
-32,-48,100,50
-32,-44,100,50
-32,-40,100,50
-32,-36,100,50
-32,-32,100,50
-32,-28,100,50
-32,-24,100,50
-32,-20,100,50
-32,-16,100,50
-32,-12,100,50
-32,-8,69,50
-32,-4,50,50
-32,0,50,50
-32,4,50,50
-32,8,41,50
-32,12,30,50
-32,16,30,50
-32,20,30,50
-32,24,30,50
-32,28,30,50
-32,32,30,50
-32,36,30,50
-32,40,30,50
-32,44,30,50
-32,48,30,50
-32,52,30,50
-32,56,30,50
-32,60,0,50
0,-60,50,50
0,-56,50,50
0,-52,50,50
0,-48,50,50
0,-44,50,50
0,-40,50,50
0,-36,50,50
0,-32,50,50
0,-28,50,50
0,-24,50,50
0,-20,50,50
0,-16,50,50
0,-12,50,50
0,-8,50,50
0,-4,50,50
0,0,50,50
0,4,50,50
0,8,50,50
0,12,50,50
0,16,50,50
0,20,50,50
0,24,50,50
0,28,50,50
0,32,50,50
0,36,50,50
0,40,50,50
0,44,50,50
0,48,50,50
0,52,50,50
0,56,50,50
0,60,0,50
32,-60,80,50
32,-56,80,50
32,-52,80,50
32,-48,80,50
32,-44,80,50
32,-40,80,50
32,-36,80,50
32,-32,80,50
32,-28,80,50
32,-24,80,50
32,-20,80,50
32,-16,80,50
32,-12,80,50
32,-8,61,50
32,-4,50,50
32,0,50,50
32,4,50,50
32,8,29,50
32,12,0,50
32,16,0,50
32,20,0,50
32,24,0,50
32,28,0,50
32,32,0,50
32,36,0,50
32,40,0,50
32,44,0,50
32,48,0,50
32,52,0,50
32,56,0,50
32,60,0,50
