T,dT,Gimpl,Gexp
-64,-60,100,50
-64,-55,100,50
-64,-50,100,50
-64,-45,100,50
-64,-40,100,50
-64,-35,100,50
-64,-30,100,50
-64,-25,100,50
-64,-20,100,50
-64,-15,100,50
-64,-10,100,50
-64,-5,50,50
-64,0,50,50
-64,5,50,50
-64,10,30,50
-64,15,30,50
-64,20,30,50
-64,25,30,50
-64,30,30,50
-64,35,30,50
-64,40,30,50
-64,45,30,50
-64,50,30,50
-64,55,30,50
-64,60,0,50
-56,-60,100,50
-56,-55,100,50
-56,-50,100,50
-56,-45,100,50
-56,-40,100,50
-56,-35,100,50
-56,-30,100,50
-56,-25,100,50
-56,-20,100,50
-56,-15,100,50
-56,-10,100,50
-56,-5,50,50
-56,0,50,50
-56,5,50,50
-56,10,30,50
-56,15,30,50
-56,20,30,50
-56,25,30,50
-56,30,30,50
-56,35,30,50
-56,40,30,50
-56,45,30,50
-56,50,30,50
-56,55,30,50
-56,60,0,50
-48,-60,100,50
-48,-55,100,50
-48,-50,100,50
-48,-45,100,50
-48,-40,100,50
-48,-35,100,50
-48,-30,100,50
-48,-25,100,50
-48,-20,100,50
-48,-15,100,50
-48,-10,100,50
-48,-5,50,50
-48,0,50,50
-48,5,50,50
-48,10,30,50
-48,15,30,50
-48,20,30,50
-48,25,30,50
-48,30,30,50
-48,35,30,50
-48,40,30,50
-48,45,30,50
-48,50,30,50
-48,55,30,50
-48,60,0,50
-40,-60,100,50
-40,-55,100,50
-40,-50,100,50
-40,-45,100,50
-40,-40,100,50
-40,-35,100,50
-40,-30,100,50
-40,-25,100,50
-40,-20,100,50
-40,-15,100,50
-40,-10,100,50
-40,-5,50,50
-40,0,50,50
-40,5,50,50
-40,10,30,50
-40,15,30,50
-40,20,30,50
-40,25,30,50
-40,30,30,50
-40,35,30,50
-40,40,30,50
-40,45,30,50
-40,50,30,50
-40,55,30,50
-40,60,0,50
-32,-60,100,50
-32,-55,100,50
-32,-50,100,50
-32,-45,100,50
-32,-40,100,50
-32,-35,100,50
-32,-30,100,50
-32,-25,100,50
-32,-20,100,50
-32,-15,100,50
-32,-10,100,50
-32,-5,50,50
-32,0,50,50
-32,5,50,50
-32,10,30,50
-32,15,30,50
-32,20,30,50
-32,25,30,50
-32,30,30,50
-32,35,30,50
-32,40,30,50
-32,45,30,50
-32,50,30,50
-32,55,30,50
-32,60,0,50
-24,-60,100,50
-24,-55,100,50
-24,-50,100,50
-24,-45,100,50
-24,-40,100,50
-24,-35,100,50
-24,-30,100,50
-24,-25,100,50
-24,-20,100,50
-24,-15,100,50
-24,-10,100,50
-24,-5,50,50
-24,0,50,50
-24,5,50,50
-24,10,30,50
-24,15,30,50
-24,20,30,50
-24,25,30,50
-24,30,30,50
-24,35,30,50
-24,40,30,50
-24,45,30,50
-24,50,30,50
-24,55,30,50
-24,60,0,50
-16,-60,100,50
-16,-55,100,50
-16,-50,100,50
-16,-45,100,50
-16,-40,100,50
-16,-35,100,50
-16,-30,100,50
-16,-25,100,50
-16,-20,100,50
-16,-15,100,50
-16,-10,100,50
-16,-5,50,50
-16,0,50,50
-16,5,50,50
-16,10,30,50
-16,15,30,50
-16,20,30,50
-16,25,30,50
-16,30,30,50
-16,35,30,50
-16,40,30,50
-16,45,30,50
-16,50,30,50
-16,55,30,50
-16,60,0,50
-8,-60,67,50
-8,-55,67,50
-8,-50,67,50
-8,-45,67,50
-8,-40,67,50
-8,-35,67,50
-8,-30,67,50
-8,-25,67,50
-8,-20,67,50
-8,-15,69,50
-8,-10,75,50
-8,-5,50,50
-8,0,50,50
-8,5,50,50
-8,10,40,50
-8,15,43,50
-8,20,43,50
-8,25,43,50
-8,30,43,50
-8,35,43,50
-8,40,43,50
-8,45,43,50
-8,50,42,50
-8,55,40,50
-8,60,0,50
0,-60,50,50
0,-55,50,50
0,-50,50,50
0,-45,50,50
0,-40,50,50
0,-35,50,50
0,-30,50,50
0,-25,50,50
0,-20,50,50
0,-15,50,50
0,-10,50,50
0,-5,50,50
0,0,50,50
0,5,50,50
0,10,50,50
0,15,50,50
0,20,50,50
0,25,50,50
0,30,50,50
0,35,50,50
0,40,50,50
0,45,50,50
0,50,50,50
0,55,50,50
0,60,0,50
8,-60,60,50
8,-55,60,50
8,-50,60,50
8,-45,60,50
8,-40,60,50
8,-35,60,50
8,-30,60,50
8,-25,60,50
8,-20,60,50
8,-15,62,50
8,-10,65,50
8,-5,50,50
8,0,50,50
8,5,50,50
8,10,25,50
8,15,33,50
8,20,33,50
8,25,33,50
8,30,33,50
8,35,33,50
8,40,33,50
8,45,33,50
8,50,31,50
8,55,25,50
8,60,0,50
16,-60,80,50
16,-55,80,50
16,-50,80,50
