T,dT,Gimpl,Gexp
128,196,0,-1
128,226,0,-1
128,246,0,-1
128,0,0,-1
128,10,0,-1
128,30,0,-1
128,60,0,-1
192,196,50,-1
192,226,27,-1
192,246,42,-1
192,0,50,-1
192,10,42,-1
192,30,27,-1
192,60,50,-1
224,196,31,-1
224,226,73,-1
224,246,58,-1
224,0,50,-1
224,10,50,-1
224,30,50,-1
224,60,50,-1
240,196,44,-1
240,226,63,-1
240,246,58,-1
240,0,50,-1
240,10,50,-1
240,30,39,-1
240,60,50,-1
0,196,50,-1
0,226,50,-1
0,246,50,-1
0,0,50,-1
0,10,42,-1
0,30,27,-1
0,60,50,-1
16,196,41,-1
16,226,50,-1
16,246,45,-1
16,0,38,-1
16,10,38,-1
16,30,27,-1
16,60,50,-1
32,196,28,-1
32,226,48,-1
32,246,33,-1
32,0,50,-1
32,10,50,-1
32,30,50,-1
32,60,50,-1
64,196,0,-1
64,226,0,-1
64,246,0,-1
64,0,0,-1
64,10,0,-1
64,30,0,-1
64,60,0,-1
96,196,0,-1
96,226,0,-1
96,246,0,-1
96,0,0,-1
96,10,0,-1
96,30,0,-1
96,60,0,-1
127,196,0,-1
127,226,0,-1
127,246,0,-1
127,0,0,-1
127,10,0,-1
127,30,0,-1
127,60,0,-1
