T,dT,Gimpl,Gexp
128,0,0,-1
130,0,50,-1
132,0,50,-1
134,0,50,-1
136,0,50,-1
138,0,50,-1
140,0,50,-1
142,0,50,-1
144,0,50,-1
146,0,50,-1
148,0,50,-1
150,0,50,-1
152,0,50,-1
154,0,50,-1
156,0,50,-1
158,0,50,-1
160,0,50,-1
162,0,50,-1
164,0,50,-1
166,0,50,-1
168,0,50,-1
170,0,50,-1
172,0,50,-1
174,0,50,-1
176,0,50,-1
178,0,50,-1
180,0,50,-1
182,0,50,-1
184,0,50,-1
186,0,50,-1
188,0,50,-1
190,0,50,-1
192,0,50,-1
194,0,50,-1
196,0,50,-1
198,0,50,-1
200,0,50,-1
202,0,50,-1
204,0,50,-1
206,0,50,-1
208,0,50,-1
210,0,50,-1
212,0,50,-1
214,0,50,-1
216,0,50,-1
218,0,50,-1
220,0,50,-1
222,0,50,-1
224,0,50,-1
226,0,50,-1
228,0,50,-1
230,0,50,-1
232,0,50,-1
234,0,50,-1
236,0,50,-1
238,0,50,-1
240,0,50,-1
242,0,50,-1
244,0,50,-1
246,0,50,-1
248,0,50,-1
250,0,50,-1
252,0,50,-1
254,0,50,-1
0,0,50,-1
2,0,48,-1
4,0,47,-1
6,0,45,-1
8,0,44,-1
10,0,42,-1
12,0,41,-1
14,0,39,-1
16,0,38,-1
18,0,36,-1
20,0,34,-1
22,0,33,-1
24,0,31,-1
26,0,30,-1
28,0,28,-1
30,0,27,-1
32,0,50,-1
34,0,47,-1
36,0,44,-1
38,0,41,-1
40,0,38,-1
42,0,34,-1
44,0,47,-1
46,0,42,-1
48,0,50,-1
50,0,44,-1
52,0,47,-1
54,0,47,-1
56,0,50,-1
58,0,47,-1
60,0,50,-1
62,0,50,-1
64,0,0,-1
66,0,0,-1
68,0,0,-1
70,0,0,-1
72,0,0,-1
74,0,0,-1
76,0,0,-1
78,0,0,-1
80,0,0,-1
82,0,0,-1
84,0,0,-1
86,0,0,-1
88,0,0,-1
90,0,0,-1
92,0,0,-1
94,0,0,-1
96,0,0,-1
98,0,0,-1
100,0,0,-1
102,0,0,-1
104,0,0,-1
106,0,0,-1
108,0,0,-1
110,0,0,-1
112,0,0,-1
114,0,0,-1
116,0,0,-1
118,0,0,-1
120,0,0,-1
122,0,0,-1
124,0,0,-1
126,0,0,-1
