T,dT,Gimpl,Gexp
224,196,31,-1
224,200,38,-1
224,204,44,-1
224,208,50,-1
224,212,56,-1
224,216,63,-1
224,220,69,-1
224,224,75,-1
224,228,72,-1
224,232,69,-1
224,236,66,-1
224,240,63,-1
224,244,59,-1
224,248,56,-1
224,252,53,-1
224,0,50,-1
224,4,50,-1
224,8,50,-1
224,12,50,-1
224,16,50,-1
224,20,50,-1
224,24,50,-1
224,28,50,-1
224,32,50,-1
224,36,44,-1
224,40,38,-1
224,44,31,-1
224,48,50,-1
224,52,38,-1
224,56,50,-1
224,60,50,-1
0,196,50,-1
0,200,50,-1
0,204,50,-1
0,208,50,-1
0,212,50,-1
0,216,50,-1
0,220,50,-1
0,224,50,-1
0,228,50,-1
0,232,50,-1
0,236,50,-1
0,240,50,-1
0,244,50,-1
0,248,50,-1
0,252,50,-1
0,0,50,-1
0,4,47,-1
0,8,44,-1
0,12,41,-1
0,16,38,-1
0,20,34,-1
0,24,31,-1
0,28,28,-1
0,32,50,-1
0,36,44,-1
0,40,38,-1
0,44,47,-1
0,48,50,-1
0,52,47,-1
0,56,50,-1
0,60,50,-1
32,196,28,-1
32,200,31,-1
32,204,34,-1
32,208,38,-1
32,212,41,-1
32,216,44,-1
32,220,47,-1
32,224,50,-1
32,228,47,-1
32,232,44,-1
32,236,41,-1
32,240,38,-1
32,244,34,-1
32,248,31,-1
32,252,28,-1
32,0,50,-1
32,4,50,-1
32,8,50,-1
32,12,50,-1
32,16,50,-1
32,20,50,-1
32,24,50,-1
32,28,50,-1
32,32,50,-1
32,36,44,-1
32,40,38,-1
32,44,47,-1
32,48,50,-1
32,52,47,-1
32,56,50,-1
32,60,50,-1
