T,dT,Gimpl,Gexp
192,196,50,-1
192,201,49,-1
192,206,44,-1
192,211,45,-1
192,216,38,-1
192,221,45,-1
192,226,27,-1
192,231,30,-1
192,236,34,-1
192,241,38,-1
192,246,42,-1
192,251,46,-1
192,0,50,-1
192,5,46,-1
192,10,42,-1
192,15,38,-1
192,20,34,-1
192,25,30,-1
192,30,27,-1
192,35,45,-1
192,40,38,-1
192,45,45,-1
192,50,44,-1
192,55,49,-1
192,60,50,-1
200,196,50,-1
200,201,39,-1
200,206,47,-1
200,211,27,-1
200,216,31,-1
200,221,35,-1
200,226,39,-1
200,231,43,-1
200,236,47,-1
200,241,51,-1
200,246,55,-1
200,251,54,-1
200,0,50,-1
200,5,50,-1
200,10,48,-1
200,15,45,-1
200,20,41,-1
200,25,37,-1
200,30,33,-1
200,35,29,-1
200,40,50,-1
200,45,42,-1
200,50,34,-1
200,55,40,-1
200,60,50,-1
208,196,38,-1
208,201,27,-1
208,206,34,-1
208,211,40,-1
208,216,44,-1
208,221,48,-1
208,226,52,-1
208,231,55,-1
208,236,59,-1
208,241,62,-1
208,246,58,-1
208,251,54,-1
208,0,50,-1
208,5,50,-1
208,10,50,-1
208,15,50,-1
208,20,47,-1
208,25,43,-1
208,30,39,-1
208,35,35,-1
208,40,31,-1
208,45,27,-1
208,50,44,-1
208,55,42,-1
208,60,50,-1
216,196,50,-1
216,201,33,-1
216,206,41,-1
216,211,48,-1
216,216,56,-1
216,221,60,-1
216,226,64,-1
216,231,68,-1
216,236,66,-1
216,241,62,-1
216,246,58,-1
216,251,54,-1
216,0,50,-1
216,5,50,-1
216,10,50,-1
216,15,50,-1
216,20,50,-1
216,25,49,-1
216,30,45,-1
216,35,41,-1
216,40,38,-1
216,45,30,-1
216,50,44,-1
216,55,42,-1
216,60,50,-1
224,196,31,-1
224,201,39,-1
224,206,47,-1
224,211,55,-1
224,216,63,-1
224,221,70,-1
224,226,73,-1
224,231,70,-1
224,236,66,-1
224,241,62,-1
224,246,58,-1
224,251,54,-1
224,0,50,-1
224,5,50,-1
224,10,50,-1
224,15,50,-1
224,20,50,-1
224,25,50,-1
224,30,50,-1
224,35,45,-1
224,40,38,-1
224,45,30,-1
224,50,44,-1
224,55,42,-1
224,60,50,-1
232,196,38,-1
232,201,45,-1
232,206,53,-1
232,211,61,-1
232,216,69,-1
232,221,69,-1
232,226,69,-1
232,231,69,-1
232,236,66,-1
232,241,62,-1
232,246,58,-1
232,251,54,-1
232,0,50,-1
232,5,50,-1
232,10,50,-1
232,15,50,-1
232,20,50,-1
232,25,49,-1
232,30,45,-1
232,35,41,-1
232,40,38,-1
232,45,30,-1
232,50,44,-1
232,55,42,-1
232,60,50,-1
240,196,44,-1
240,201,52,-1
240,206,59,-1
240,211,63,-1
240,216,63,-1
240,221,63,-1
240,226,63,-1
240,231,63,-1
240,236,63,-1
240,241,62,-1
240,246,58,-1
240,251,54,-1
240,0,50,-1
240,5,50,-1
240,10,50,-1
240,15,50,-1
240,20,47,-1
240,25,43,-1
240,30,39,-1
240,35,35,-1
240,40,31,-1
240,45,27,-1
240,50,44,-1
240,55,42,-1
240,60,50,-1
248,196,50,-1
248,201,56,-1
248,206,56,-1
248,211,56,-1
248,216,56,-1
248,221,56,-1
248,226,56,-1
248,231,56,-1
248,236,56,-1
248,241,56,-1
248,246,56,-1
248,251,54,-1
248,0,50,-1
248,5,50,-1
248,10,48,-1
248,15,45,-1
248,20,41,-1
248,25,37,-1
248,30,33,-1
248,35,29,-1
248,40,50,-1
248,45,42,-1
248,50,34,-1
248,55,40,-1
248,60,50,-1
0,196,50,-1
0,201,50,-1
0,206,50,-1
0,211,50,-1
0,216,50,-1
0,221,50,-1
0,226,50,-1
0,231,50,-1
0,236,50,-1
0,241,50,-1
0,246,50,-1
0,251,50,-1
0,0,50,-1
0,5,46,-1
0,10,42,-1
0,15,38,-1
0,20,34,-1
0,25,30,-1
0,30,27,-1
0,35,45,-1
0,40,38,-1
0,45,45,-1
0,50,44,-1
0,55,49,-1
0,60,50,-1
8,196,47,-1
8,201,50,-1
8,206,50,-1
8,211,50,-1
8,216,50,-1
8,221,50,-1
8,226,50,-1
8,231,50,-1
8,236,50,-1
8,241,50,-1
8,246,50,-1
8,251,48,-1
8,0,44,-1
8,5,44,-1
8,10,42,-1
8,15,38,-1
8,20,34,-1
8,25,30,-1
8,30,27,-1
8,35,45,-1
8,40,38,-1
8,45,45,-1
8,50,44,-1
8,55,49,-1
8,60,50,-1
16,196,41,-1
16,201,45,-1
16,206,48,-1
16,211,50,-1
16,216,50,-1
16,221,50,-1
16,226,50,-1
16,231,50,-1
16,236,50,-1
16,241,49,-1
16,246,45,-1
16,251,41,-1
16,0,38,-1
16,5,38,-1
16,10,38,-1
16,15,38,-1
16,20,34,-1
16,25,30,-1
16,30,27,-1
16,35,45,-1
16,40,38,-1
16,45,45,-1
16,50,44,-1
16,55,49,-1
16,60,50,-1
24,196,34,-1
24,201,38,-1
24,206,42,-1
24,211,46,-1
24,216,50,-1
24,221,50,-1
24,226,50,-1
24,231,50,-1
24,236,47,-1
24,241,43,-1
24,246,39,-1
24,251,35,-1
24,0,31,-1
24,5,31,-1
24,10,31,-1
24,15,31,-1
24,20,31,-1
24,25,30,-1
24,30,27,-1
24,35,45,-1
24,40,38,-1
24,45,45,-1
24,50,44,-1
24,55,49,-1
24,60,50,-1
32,196,28,-1
32,201,32,-1
