run_id,case,idx,rm,dt,T,dT,Gexp,Gimpl
tb_run,Grid_T=-128_dT=-60,0,0,0,-128,-60,0,0
tb_run,Grid_T=-128_dT=-30,1,0,0,-128,-30,0,0
tb_run,Grid_T=-128_dT=-10,2,0,0,-128,-10,0,0
tb_run,Grid_T=-128_dT=0,3,0,0,-128,0,0,0
tb_run,Grid_T=-128_dT=10,4,0,0,-128,10,0,0
tb_run,Grid_T=-128_dT=30,5,0,0,-128,30,0,0
tb_run,Grid_T=-128_dT=60,6,0,0,-128,60,0,0
tb_run,Grid_T=-64_dT=-60,7,0,0,-64,-60,100,100
tb_run,Grid_T=-64_dT=-30,8,0,0,-64,-30,100,100
tb_run,Grid_T=-64_dT=-10,9,0,0,-64,-10,100,100
tb_run,Grid_T=-64_dT=0,10,0,0,-64,0,0,0
tb_run,Grid_T=-64_dT=10,11,0,0,-64,10,30,30
tb_run,Grid_T=-64_dT=30,12,0,0,-64,30,30,30
tb_run,Grid_T=-64_dT=60,13,0,0,-64,60,0,0
tb_run,Grid_T=-32_dT=-60,14,0,0,-32,-60,100,100
tb_run,Grid_T=-32_dT=-30,15,0,0,-32,-30,100,100
tb_run,Grid_T=-32_dT=-10,16,0,0,-32,-10,100,100
tb_run,Grid_T=-32_dT=0,17,0,0,-32,0,0,0
tb_run,Grid_T=-32_dT=10,18,0,0,-32,10,30,30
tb_run,Grid_T=-32_dT=30,19,0,0,-32,30,30,30
tb_run,Grid_T=-32_dT=60,20,0,0,-32,60,0,0
tb_run,Grid_T=-16_dT=-60,21,0,0,-16,-60,100,100
tb_run,Grid_T=-16_dT=-30,22,0,0,-16,-30,100,100
tb_run,Grid_T=-16_dT=-10,23,0,0,-16,-10,100,100
tb_run,Grid_T=-16_dT=0,24,0,0,-16,0,0,0
tb_run,Grid_T=-16_dT=10,25,0,0,-16,10,30,30
tb_run,Grid_T=-16_dT=30,26,0,0,-16,30,30,30
tb_run,Grid_T=-16_dT=60,27,0,0,-16,60,0,0
tb_run,Grid_T=0_dT=-60,28,0,0,0,-60,0,0
tb_run,Grid_T=0_dT=-30,29,0,0,0,-30,0,0
tb_run,Grid_T=0_dT=-10,30,0,0,0,-10,0,0
tb_run,Grid_T=0_dT=0,31,0,0,0,0,0,0
tb_run,Grid_T=0_dT=10,32,0,0,0,10,0,0
tb_run,Grid_T=0_dT=30,33,0,0,0,30,0,0
tb_run,Grid_T=0_dT=60,34,0,0,0,60,0,0
tb_run,Grid_T=16_dT=-60,35,0,0,16,-60,80,80
tb_run,Grid_T=16_dT=-30,36,0,0,16,-30,80,80
tb_run,Grid_T=16_dT=-10,37,0,0,16,-10,80,80
tb_run,Grid_T=16_dT=0,38,0,0,16,0,0,0
tb_run,Grid_T=16_dT=10,39,0,0,16,10,0,0
tb_run,Grid_T=16_dT=30,40,0,0,16,30,0,0
tb_run,Grid_T=16_dT=60,41,0,0,16,60,0,0
tb_run,Grid_T=32_dT=-60,42,0,0,32,-60,80,80
tb_run,Grid_T=32_dT=-30,43,0,0,32,-30,80,80
tb_run,Grid_T=32_dT=-10,44,0,0,32,-10,80,80
tb_run,Grid_T=32_dT=0,45,0,0,32,0,0,0
tb_run,Grid_T=32_dT=10,46,0,0,32,10,0,0
tb_run,Grid_T=32_dT=30,47,0,0,32,30,0,0
tb_run,Grid_T=32_dT=60,48,0,0,32,60,0,0
tb_run,Grid_T=64_dT=-60,49,0,0,64,-60,80,80
tb_run,Grid_T=64_dT=-30,50,0,0,64,-30,80,80
tb_run,Grid_T=64_dT=-10,51,0,0,64,-10,80,80
tb_run,Grid_T=64_dT=0,52,0,0,64,0,0,0
tb_run,Grid_T=64_dT=10,53,0,0,64,10,0,0
tb_run,Grid_T=64_dT=30,54,0,0,64,30,0,0
tb_run,Grid_T=64_dT=60,55,0,0,64,60,0,0
tb_run,Grid_T=96_dT=-60,56,0,0,96,-60,80,80
tb_run,Grid_T=96_dT=-30,57,0,0,96,-30,80,80
tb_run,Grid_T=96_dT=-10,58,0,0,96,-10,80,80
tb_run,Grid_T=96_dT=0,59,0,0,96,0,0,0
tb_run,Grid_T=96_dT=10,60,0,0,96,10,0,0
tb_run,Grid_T=96_dT=30,61,0,0,96,30,0,0
tb_run,Grid_T=96_dT=60,62,0,0,96,60,0,0
tb_run,Grid_T=127_dT=-60,63,0,0,127,-60,0,0
tb_run,Grid_T=127_dT=-30,64,0,0,127,-30,0,0
tb_run,Grid_T=127_dT=-10,65,0,0,127,-10,0,0
tb_run,Grid_T=127_dT=0,66,0,0,127,0,0,0
tb_run,Grid_T=127_dT=10,67,0,0,127,10,0,0
tb_run,Grid_T=127_dT=30,68,0,0,127,30,0,0
tb_run,Grid_T=127_dT=60,69,0,0,127,60,0,0
tb_run,Grid_T=-128_dT=-60,0,1,0,-128,-60,0,0
tb_run,Grid_T=-128_dT=-30,1,1,0,-128,-30,0,0
tb_run,Grid_T=-128_dT=-10,2,1,0,-128,-10,0,0
tb_run,Grid_T=-128_dT=0,3,1,0,-128,0,0,0
tb_run,Grid_T=-128_dT=10,4,1,0,-128,10,0,0
tb_run,Grid_T=-128_dT=30,5,1,0,-128,30,0,0
tb_run,Grid_T=-128_dT=60,6,1,0,-128,60,0,0
tb_run,Grid_T=-64_dT=-60,7,1,0,-64,-60,100,100
tb_run,Grid_T=-64_dT=-30,8,1,0,-64,-30,100,100
tb_run,Grid_T=-64_dT=-10,9,1,0,-64,-10,100,100
tb_run,Grid_T=-64_dT=0,10,1,0,-64,0,50,50
tb_run,Grid_T=-64_dT=10,11,1,0,-64,10,30,30
tb_run,Grid_T=-64_dT=30,12,1,0,-64,30,30,30
tb_run,Grid_T=-64_dT=60,13,1,0,-64,60,0,0
tb_run,Grid_T=-32_dT=-60,14,1,0,-32,-60,100,100
tb_run,Grid_T=-32_dT=-30,15,1,0,-32,-30,100,100
tb_run,Grid_T=-32_dT=-10,16,1,0,-32,-10,100,100
tb_run,Grid_T=-32_dT=0,17,1,0,-32,0,50,50
tb_run,Grid_T=-32_dT=10,18,1,0,-32,10,30,30
tb_run,Grid_T=-32_dT=30,19,1,0,-32,30,30,30
tb_run,Grid_T=-32_dT=60,20,1,0,-32,60,0,0
tb_run,Grid_T=-16_dT=-60,21,1,0,-16,-60,100,100
tb_run,Grid_T=-16_dT=-30,22,1,0,-16,-30,100,100
tb_run,Grid_T=-16_dT=-10,23,1,0,-16,-10,100,100
tb_run,Grid_T=-16_dT=0,24,1,0,-16,0,50,50
tb_run,Grid_T=-16_dT=10,25,1,0,-16,10,30,30
tb_run,Grid_T=-16_dT=30,26,1,0,-16,30,30,30
tb_run,Grid_T=-16_dT=60,27,1,0,-16,60,0,0
tb_run,Grid_T=0_dT=-60,28,1,0,0,-60,50,50
tb_run,Grid_T=0_dT=-30,29,1,0,0,-30,50,50
tb_run,Grid_T=0_dT=-10,30,1,0,0,-10,50,50
tb_run,Grid_T=0_dT=0,31,1,0,0,0,50,50
tb_run,Grid_T=0_dT=10,32,1,0,0,10,50,50
tb_run,Grid_T=0_dT=30,33,1,0,0,30,50,50
tb_run,Grid_T=0_dT=60,34,1,0,0,60,0,0
tb_run,Grid_T=16_dT=-60,35,1,0,16,-60,80,80
tb_run,Grid_T=16_dT=-30,36,1,0,16,-30,80,80
tb_run,Grid_T=16_dT=-10,37,1,0,16,-10,80,80
tb_run,Grid_T=16_dT=0,38,1,0,16,0,50,50
tb_run,Grid_T=16_dT=10,39,1,0,16,10,0,0
tb_run,Grid_T=16_dT=30,40,1,0,16,30,0,0
tb_run,Grid_T=16_dT=60,41,1,0,16,60,0,0
tb_run,Grid_T=32_dT=-60,42,1,0,32,-60,80,80
tb_run,Grid_T=32_dT=-30,43,1,0,32,-30,80,80
tb_run,Grid_T=32_dT=-10,44,1,0,32,-10,80,80
tb_run,Grid_T=32_dT=0,45,1,0,32,0,50,50
tb_run,Grid_T=32_dT=10,46,1,0,32,10,0,0
tb_run,Grid_T=32_dT=30,47,1,0,32,30,0,0
tb_run,Grid_T=32_dT=60,48,1,0,32,60,0,0
tb_run,Grid_T=64_dT=-60,49,1,0,64,-60,80,80
tb_run,Grid_T=64_dT=-30,50,1,0,64,-30,80,80
tb_run,Grid_T=64_dT=-10,51,1,0,64,-10,80,80
tb_run,Grid_T=64_dT=0,52,1,0,64,0,50,50
tb_run,Grid_T=64_dT=10,53,1,0,64,10,0,0
tb_run,Grid_T=64_dT=30,54,1,0,64,30,0,0
tb_run,Grid_T=64_dT=60,55,1,0,64,60,0,0
tb_run,Grid_T=96_dT=-60,56,1,0,96,-60,80,80
tb_run,Grid_T=96_dT=-30,57,1,0,96,-30,80,80
tb_run,Grid_T=96_dT=-10,58,1,0,96,-10,80,80
tb_run,Grid_T=96_dT=0,59,1,0,96,0,50,50
tb_run,Grid_T=96_dT=10,60,1,0,96,10,0,0
tb_run,Grid_T=96_dT=30,61,1,0,96,30,0,0
tb_run,Grid_T=96_dT=60,62,1,0,96,60,0,0
tb_run,Grid_T=127_dT=-60,63,1,0,127,-60,0,0
tb_run,Grid_T=127_dT=-30,64,1,0,127,-30,0,0
tb_run,Grid_T=127_dT=-10,65,1,0,127,-10,0,0
tb_run,Grid_T=127_dT=0,66,1,0,127,0,0,0
tb_run,Grid_T=127_dT=10,67,1,0,127,10,0,0
tb_run,Grid_T=127_dT=30,68,1,0,127,30,0,0
tb_run,Grid_T=127_dT=60,69,1,0,127,60,0,0
tb_run,Edge_sumw_zero,0,1,0,-128,127,0,0
tb_run,Random,0,1,0,10,-123,0,0
tb_run,Random,1,1,0,107,5,50,50
tb_run,Random,2,1,0,-13,30,36,36
tb_run,Random,3,1,0,126,38,0,0
tb_run,Random,4,1,0,119,67,0,0
tb_run,Random,5,1,0,-126,16,30,30
tb_run,Random,6,1,0,-103,-113,0,0
tb_run,Random,7,1,0,6,-101,0,0
tb_run,Random,8,1,0,1,53,45,45
tb_run,Random,9,1,0,96,81,0,0
tb_run,Random,10,1,0,54,-32,80,80
tb_run,Random,11,1,0,57,115,0,0
tb_run,Random,12,1,0,80,-44,80,80
tb_run,Random,13,1,0,86,-33,80,80
tb_run,Random,14,1,0,-77,-8,69,69
tb_run,Random,15,1,0,21,73,0,0
tb_run,Random,16,1,0,1,10,44,44
tb_run,Random,17,1,0,-7,-70,64,64
tb_run,Random,18,1,0,-7,-95,75,75
tb_run,Random,19,1,0,40,-75,80,80
tb_run,Random,20,1,0,11,-107,0,0
tb_run,Random,21,1,0,-26,-63,100,100
tb_run,Random,22,1,0,-51,-65,100,100
tb_run,Random,23,1,0,43,-53,80,80
tb_run,Random,24,1,0,103,76,0,0
tb_run,Random,25,1,0,-75,-3,50,50
tb_run,Random,26,1,0,-98,-66,100,100
tb_run,Random,27,1,0,-3,-16,59,59
tb_run,Random,28,1,0,20,34,0,0
tb_run,Random,29,1,0,-64,7,45,45
tb_run,Random,30,1,0,72,78,0,0
tb_run,Random,31,1,0,50,78,0,0
tb_run,Random,32,1,0,108,-117,0,0
tb_run,Random,33,1,0,-31,-72,100,100
tb_run,Random,34,1,0,-92,-60,100,100
tb_run,Random,35,1,0,-33,80,0,0
tb_run,Random,36,1,0,-46,5,50,50
tb_run,Random,37,1,0,-3,-113,0,0
tb_run,Random,38,1,0,-15,-41,94,94
tb_run,Random,39,1,0,94,-126,0,0
tb_run,Random,40,1,0,-66,67,0,0
tb_run,Random,41,1,0,117,-59,80,80
tb_run,Random,42,1,0,-79,35,30,30
tb_run,Random,43,1,0,60,-93,80,80
tb_run,Random,44,1,0,15,84,0,0
tb_run,Random,45,1,0,-17,-9,81,81
tb_run,Random,46,1,0,-75,-59,100,100
tb_run,Random,47,1,0,-62,40,30,30
tb_run,Random,48,1,0,47,123,0,0
tb_run,Random,49,1,0,-95,55,30,30
tb_run,Random,50,1,0,72,1,50,50
tb_run,Random,51,1,0,16,-17,80,80
tb_run,Random,52,1,0,99,-28,80,80
tb_run,Random,53,1,0,-34,-26,100,100
tb_run,Random,54,1,0,4,89,0,0
tb_run,Random,55,1,0,-27,88,0,0
tb_run,Random,56,1,0,10,120,0,0
tb_run,Random,57,1,0,32,112,0,0
tb_run,Random,58,1,0,2,110,0,0
tb_run,Random,59,1,0,-29,33,30,30
tb_run,Random,60,1,0,57,77,0,0
tb_run,Random,61,1,0,-102,-25,100,100
