T,dT,Gimpl,Gexp
-32,-60,100,100
-32,-56,100,100
-32,-52,100,100
-32,-48,100,100
-32,-44,100,100
-32,-40,100,100
-32,-36,100,100
-32,-32,100,100
-32,-28,100,100
-32,-24,100,100
-32,-20,100,100
-32,-16,100,100
-32,-12,100,100
-32,-8,69,69
-32,-4,50,50
-32,0,50,50
-32,4,50,50
-32,8,41,41
-32,12,30,30
-32,16,30,30
-32,20,30,30
-32,24,30,30
-32,28,30,30
-32,32,30,30
-32,36,30,30
-32,40,30,30
-32,44,30,30
-32,48,30,30
-32,52,30,30
-32,56,30,30
-32,60,0,0
0,-60,50,50
0,-56,50,50
0,-52,50,50
0,-48,50,50
0,-44,50,50
0,-40,50,50
0,-36,50,50
0,-32,50,50
0,-28,50,50
0,-24,50,50
0,-20,50,50
0,-16,50,50
0,-12,50,50
0,-8,50,50
0,-4,50,50
0,0,50,50
0,4,50,50
0,8,50,50
0,12,50,50
0,16,50,50
0,20,50,50
0,24,50,50
0,28,50,50
0,32,50,50
0,36,50,50
0,40,50,50
0,44,50,50
0,48,50,50
0,52,50,50
0,56,50,50
0,60,0,0
32,-60,80,80
32,-56,80,80
32,-52,80,80
32,-48,80,80
32,-44,80,80
32,-40,80,80
32,-36,80,80
32,-32,80,80
32,-28,80,80
32,-24,80,80
32,-20,80,80
32,-16,80,80
32,-12,80,80
32,-8,61,61
32,-4,50,50
32,0,50,50
32,4,50,50
32,8,29,29
32,12,0,0
32,16,0,0
32,20,0,0
32,24,0,0
32,28,0,0
32,32,0,0
32,36,0,0
32,40,0,0
32,44,0,0
32,48,0,0
32,52,0,0
32,56,0,0
32,60,0,0
