T,dT,Gimpl,Gexp
-64,-60,100,100
-64,-55,100,100
-64,-50,100,100
-64,-45,100,100
-64,-40,100,100
-64,-35,100,100
-64,-30,100,100
-64,-25,100,100
-64,-20,100,100
-64,-15,100,100
-64,-10,100,100
-64,-5,50,50
-64,0,50,50
-64,5,50,50
-64,10,30,30
-64,15,30,30
-64,20,30,30
-64,25,30,30
-64,30,30,30
-64,35,30,30
-64,40,30,30
-64,45,30,30
-64,50,30,30
-64,55,30,30
-64,60,0,0
-56,-60,100,100
-56,-55,100,100
-56,-50,100,100
-56,-45,100,100
-56,-40,100,100
-56,-35,100,100
-56,-30,100,100
-56,-25,100,100
-56,-20,100,100
-56,-15,100,100
-56,-10,100,100
-56,-5,50,50
-56,0,50,50
-56,5,50,50
-56,10,30,30
-56,15,30,30
-56,20,30,30
-56,25,30,30
-56,30,30,30
-56,35,30,30
-56,40,30,30
-56,45,30,30
-56,50,30,30
-56,55,30,30
-56,60,0,0
-48,-60,100,100
-48,-55,100,100
-48,-50,100,100
-48,-45,100,100
-48,-40,100,100
-48,-35,100,100
-48,-30,100,100
-48,-25,100,100
-48,-20,100,100
-48,-15,100,100
-48,-10,100,100
-48,-5,50,50
-48,0,50,50
-48,5,50,50
-48,10,30,30
-48,15,30,30
-48,20,30,30
-48,25,30,30
-48,30,30,30
-48,35,30,30
-48,40,30,30
-48,45,30,30
-48,50,30,30
-48,55,30,30
-48,60,0,0
-40,-60,100,100
-40,-55,100,100
-40,-50,100,100
-40,-45,100,100
-40,-40,100,100
-40,-35,100,100
-40,-30,100,100
-40,-25,100,100
-40,-20,100,100
-40,-15,100,100
-40,-10,100,100
-40,-5,50,50
-40,0,50,50
-40,5,50,50
-40,10,30,30
-40,15,30,30
-40,20,30,30
-40,25,30,30
-40,30,30,30
-40,35,30,30
-40,40,30,30
-40,45,30,30
-40,50,30,30
-40,55,30,30
-40,60,0,0
-32,-60,100,100
-32,-55,100,100
-32,-50,100,100
-32,-45,100,100
-32,-40,100,100
-32,-35,100,100
-32,-30,100,100
-32,-25,100,100
-32,-20,100,100
-32,-15,100,100
-32,-10,100,100
-32,-5,50,50
-32,0,50,50
-32,5,50,50
-32,10,30,30
-32,15,30,30
-32,20,30,30
-32,25,30,30
-32,30,30,30
-32,35,30,30
-32,40,30,30
-32,45,30,30
-32,50,30,30
-32,55,30,30
-32,60,0,0
-24,-60,100,100
-24,-55,100,100
-24,-50,100,100
-24,-45,100,100
-24,-40,100,100
-24,-35,100,100
-24,-30,100,100
-24,-25,100,100
-24,-20,100,100
-24,-15,100,100
-24,-10,100,100
-24,-5,50,50
-24,0,50,50
-24,5,50,50
-24,10,30,30
-24,15,30,30
-24,20,30,30
-24,25,30,30
-24,30,30,30
-24,35,30,30
-24,40,30,30
-24,45,30,30
